
  Для каждого паттерна задаётся:
  - Плотность засадки (int)(в метрах)
  - Список объектов с параметрами

  Параметры объекта:
  - Имя
  - Относительная вероятность появления (int)
  - Радиус (float). Либо -1, для невертикальных объектов

  Основной Лесной паттерн
a00     d = 14
a00_00  n=tree_01m,  v=6,   r=0.4
a00_01  n=tree_05,  v=2,   r=1.2
a00_02  n=tree6_10,  v=6,   r=0.4
a00_03  n=tree6_11,  v=6,   r=0.4
a00_04  n=tree6_12,  v=6,   r=0.4
a00_05  n=tree6_14,  v=6,   r=0.4
a00_06  n=tree_02m,  v=12,   r=0.2
a00_07  n=grass_02m,  v=12,   r=0.2
a00_08  n=grass_01m,  v=6,   r=-1
a00_09  n=tree_03m,  v=3,   r=0.4
a00_10  n=tree_04m,  v=3,   r=-1
a00_11  n=c_stone01,  v=1,   r=0.6
a00_12  n=c_stone02,  v=1,   r=0.6
a00_13  n=c_stone03,  v=1,   r=0.6
a00_14  n=c_stone04,  v=1,   r=0.6
a00_15  n=rock01,  v=1,   r=3
a00_16  n=rock02,  v=1,   r=3
a00_17  n=rock04,  v=1,   r=3
a00_18  n=rock05,  v=1,   r=1.5
a00_19  n=grass_03m,  v=2,   r=-1

  Основной Равнинный паттерн
a01     d = 18
a01_00  n=tree_01m,  v=2,   r=0.4
a01_01  n=tree_05,  v=1,   r=1.2
a01_02  n=tree6_10,  v=2,   r=0.4
a01_03  n=tree6_11,  v=2,   r=0.4
a01_04  n=tree6_12,  v=2,   r=0.4
a01_05  n=tree6_15,  v=2,   r=0.4
a01_06  n=tree_02m,  v=11,   r=0.2
a01_07  n=grass_02m,  v=11,   r=0.2
a01_08  n=grass_03m,  v=2,   r=0.4
a01_09  n=c_stone03,  v=8,   r=0.6
a01_10  n=c_stone04,  v=8,   r=0.6
a01_11  n=c_stone01,  v=8,   r=0.6
a01_12  n=c_stone02,  v=8,   r=0.6
a01_13  n=rock03,  v=6,   r=3
a01_14  n=rock10,  v=6,   r=2.3
a01_15  n=rock11,  v=6,   r=1.8
a01_16  n=rock12,  v=6,   r=2.6
a01_17  n=rock13,  v=6,   r=2.5
a01_18  n=rock01,  v=6,   r=3
a01_19  n=rock02,  v=6,   r=3
a01_20  n=rock04,  v=6,   r=3
a01_21  n=rock05,  v=6,   r=1.5
a01_22  n=bush60,  v=6,   r=0.1

  Сухой лес
a02     d = 11
a02_00  n=tree6_15,  v=6,   r=0.4
a02_01  n=tree6_16,  v=6,   r=0.4
a02_02  n=tree6_17,  v=6,   r=0.4
a02_03  n=tree6_18,  v=6,   r=0.4
a02_04  n=tree6_19,  v=6,   r=0.4
a02_05  n=tree_03m,  v=4,   r=0.4
a02_06  n=tree_04m,  v=4,   r=-1
a02_07  n=c_stone04,  v=1,   r=0.6
a02_08  n=c_stone01,  v=1,   r=0.6
a02_09 n=c_stone02,  v=1,   r=0.6
a02_10  n=c_stone03,  v=1,   r=0.6
a02_11  n=rock02,  v=1,   r=3
a02_12  n=rock13,  v=1,   r=2.5
a02_13  n=rock11,  v=1,   r=1.8

  Вдоль реки, каменистый берег
a03     d = 12
a03_00  n=stone1,  v=8,   r=1.1
a03_01  n=stone2,  v=8,   r=1.4
a03_02  n=stone3,  v=2,   r=1.4
a03_03  n=tree_02m,  v=9,   r=0.4
a03_04  n=bush30,  v=1,   r=0.1
a03_05  n=bush60,  v=1,   r=0.1
a03_06  n=grass_02m,  v=6,   r=0.2


  Рощицы
a04     d = 8
a04_00  n=tree_01m,  v=6,   r=0.4
a04_01  n=tree_05,  v=2,   r=1.2
a04_02  n=tree6_10,  v=6,   r=0.4
a04_03  n=tree6_11,  v=6,   r=0.4
a04_04  n=tree6_12,  v=6,   r=0.4
a04_05  n=tree6_14,  v=6,   r=0.4
a04_06  n=tree_02m,  v=9,   r=0.2
a04_07  n=grass_02m,  v=9,   r=0.2
a04_08  n=grass_01m,  v=6,   r=-1
a04_09  n=tree_03m,  v=2,   r=0.4
a04_10  n=tree_04m,  v=2,   r=-1
a04_11  n=c_stone01,  v=1,   r=0.6
a04_12  n=c_stone02,  v=1,   r=0.6
a04_13  n=c_stone03,  v=1,   r=0.6
a04_14  n=c_stone04,  v=1,   r=0.6
a04_15  n=rock01,  v=1,   r=3
a04_16  n=rock02,  v=1,   r=3
a04_17  n=rock04,  v=1,   r=3
a04_18  n=rock05,  v=1,   r=1.5
a04_19  n=tree6_15,  v=1,   r=0.4
a04_20  n=tree6_16,  v=1,   r=0.4
a04_21  n=tree6_17,  v=1,   r=0.4
a04_22  n=tree6_18,  v=1,   r=0.4
a04_23  n=tree6_19,  v=1,   r=0.4

  Вдоль дорог
a05     d = 10
a05_00  n=tree_01m,  v=6,   r=0.4
a05_01  n=tree_05,  v=2,   r=1.2
a05_02  n=tree6_10,  v=6,   r=0.4
a05_03  n=tree6_11,  v=6,   r=0.4
a05_04  n=tree6_12,  v=6,   r=0.4
a05_05  n=tree6_14,  v=6,   r=0.4
a05_06  n=tree_02m,  v=9,   r=0.2
a05_07  n=grass_02m,  v=9,   r=0.2
a05_08  n=grass_01m,  v=2,   r=-1
a05_09  n=tree_03m,  v=2,   r=0.4
a05_10  n=tree_04m,  v=2,   r=-1
a05_11  n=c_stone01,  v=1,   r=0.6
a05_12  n=c_stone02,  v=1,   r=0.6
a05_13  n=c_stone03,  v=1,   r=0.6
a05_14  n=c_stone04,  v=1,   r=0.6
a05_15  n=rock01,  v=1,   r=3
a05_16  n=rock02,  v=1,   r=3
a05_17  n=rock04,  v=1,   r=3
a05_28  n=rock05,  v=1,   r=1.5
a05_19  n=rock03,  v=1,   r=3
a05_20  n=grass_03m,  v=4,   r=-1

  Около замков и городов
a06     d = 15
a06_00  n=c_stone03,  v=1,   r=0.6
a06_01  n=c_stone04,  v=1,   r=0.6
a06_02  n=tree_02m,  v=8,   r=0.2
a06_03  n=grass_02m,  v=8,   r=0.2
a06_04  n=tree_03m,  v=10,   r=0.4
a06_05  n=tree_04m,  v=9,   r=-1
a06_06  n=c_stone01,  v=1,   r=0.6
a06_07  n=c_stone02,  v=1,   r=0.6
a06_08  n=rock01,  v=1,   r=3
a06_09  n=rock02,  v=1,   r=3
a06_10  n=rock04,  v=1,   r=3
a06_11  n=rock05,  v=1,   r=1.5
a06_12  n=rock03,  v=1,   r=3

  Густой Лес
a07     d = 2
a07_00  n=tree_01m,  v=11,   r=0.4
a07_01  n=tree_05,  v=3,   r=1.2
a07_02  n=tree6_10,  v=11,   r=0.4
a07_03  n=tree6_11,  v=11,   r=0.4
a07_04  n=tree6_12,  v=11,   r=0.4
a07_05  n=tree6_14,  v=11,   r=0.4
a07_06  n=tree_02m,  v=15,   r=0.2
a07_07  n=grass_02m,  v=15,   r=0.2
a07_08  n=grass_01m,  v=4,   r=-1
a07_09  n=tree_03m,  v=3,   r=0.4
a07_10  n=tree_04m,  v=3,   r=-1
a07_11  n=grass_03m,  v=4,   r=-1
a07_12  n=bush60,  v=4,  r=0.1

  Хвойный лес
a08     d = 6
a08_00  n=tree4_1,  v=7,   r=0.3
a08_01  n=tree4_2,  v=7,   r=0.3
a08_02  n=tree4_3,  v=7,   r=0.3
a08_03  n=tree4_4,  v=12,   r=0.3
a08_03  n=tree4_5,  v=12,   r=0.2
a08_04  n=tree4_6,  v=12,   r=0.2
a08_05  n=tree4_13g,  v=1,   r=3
